M1_Embedding_Time,M2_Index_Size_Chunks,M3_Retrieval_Latency,M4_Cosine_Similarity,M5_TopK_Accuracy,M6_ROUGE-1,M7_ROUGE-2,M8_ROUGE-L,M9_Context_Length_Words,M9_Context_Tokens,M10_BLEU,M11_METEOR,M12_BERTScore_F1,M13_Factual_Consistency_Deviation,M14_Faithfulness,M15_Ground_Truth_Coverage,M16_End_to_End_Latency,M17_Throughput_QPS,M18_CPU_Usage,M19_RAM_Usage_GB,M20_Citation_Accuracy,M21_Terminology_Precision,M22_Precedent_Coverage,M23_FCD_Score,M24_Bias_Score,GT_Reference,AI_Response
0.0,22397,0.7851965427398682,0.6758474111557007,0.0,0.40740740740740733,0.18867924528301888,0.2777777777777778,822,992,0.0899557677688388,0.31932603686635946,0.8874582648277283,0.15718746185302734,0.75,70.0,1.4778296947479248,0.6767,24.3,18.26,0.6,0.8,50.0,0.85,0.05,No. The Supreme Court held that a Family Benefit Scheme (which provides a monthly deposit) cannot be equated with or replace the constitutional philosophy of social justice underlying compassionate appointments. The employer must still consider the dependent's application for compassionate employment.,"No, the introduction of a Family Benefit Scheme by an employer does not completely extinguish a dependent's right to claim compassionate appointment. The Court views the Family Benefit Scheme as a lump sum amount to be made available to the family to absorb the sudden jerk caused by the death of the bread earner, but it cannot be equated with the benefit of compassionate appointments."
0.0,22397,0.3566710948944092,0.7205587029457092,0.0,0.3829787234042553,0.10869565217391304,0.276595744680851,791,888,0.02503430949628006,0.23427524198297026,0.8694002032279968,0.1541178822517395,0.75,70.0,0.9724178314208984,1.0284,22.8,18.22,0.6,0.8,50.0,0.85,0.05,"No. The Supreme Court ruled that a person disqualified from being a member of the legislature under Article 191(1)(e) read with Section 8(3) of the Representation of the People Act, 1951, due to a criminal conviction, cannot be legally appointed as Chief Minister, even if they enjoy the majority support of the legislative assembly.","No, a person who has been convicted of a criminal offence and sentenced to imprisonment for more than two years cannot be appointed as the Chief Minister of a State if their conviction has not been suspended."
0.0,22397,0.5774848461151123,0.6766513586044312,0.0,0.4634146341463415,0.29629629629629634,0.4390243902439024,804,1013,0.1572879073167747,0.4754525777253049,0.9040377140045166,0.13797909021377563,0.75,70.0,1.267759084701538,0.7888,24.7,18.24,0.6,0.8,50.0,0.85,0.05,"The Supreme Court directed that recruitment to the Higher Judicial Service should be divided into three avenues: 50% by promotion based on merit-cum-seniority, 25% by promotion strictly on merit through a limited departmental competitive examination, and 25% by direct recruitment from eligible advocates.","The Supreme Court directed that recruitment to the Higher Judicial Service (District Judges) will be through the following methods:

1. 50% by promotion from amongst the Civil Judges (Senior Division) on the basis of principle of merit-cum-seniority and passing a suitability test.
2. 25% by promotion strictly on the basis of merit through limited competitive examination of Civil Judges (Senior Division) having not less than five years' qualifying service.
3. 25% of the posts shall be filled by direct recruitment from amongst the eligible Advocates on the basis of the written and viva voce test conducted by respective High Courts.

This directive aims to ensure merit and efficiency in the recruitment process for the Higher Judicial Service."
0.0,22397,0.30797839164733887,0.6253049969673157,0.0,0.31496062992125984,0.08,0.2204724409448819,849,978,0.0284010315415098,0.20169851380042467,0.8581405878067017,0.1292933225631714,0.75,70.0,0.9056694507598877,1.1042,23.6,18.24,0.6,0.8,50.0,0.85,0.05,"No. The Supreme Court held that the existence of a waiting list does not create an indefeasible right to appointment. The employer has the discretion to carry forward unfilled vacancies to the next year, provided the decision is not arbitrary or mala fide.","No, candidates placed on a waiting list do not have an absolute legal right to be appointed if the initially selected candidates fail to join the service. 

As per the observations in Subash Chander Marwaha & Ors., [1974] 3 SCC 220, the mere fact that a candidate's name appears in the list will not entitle him to a mandamus that he be appointed. The selection for appointment comes later, and it is open to the Government to decide how many appointments shall be made."
0.0,22397,0.5644009113311768,0.791148841381073,0.4,0.42696629213483145,0.16091954022988506,0.33707865168539325,896,1172,0.056105580995645665,0.32963446475195823,0.8978501558303833,0.14650815725326538,0.75,70.0,1.184067726135254,0.8445,24.3,18.31,0.6,0.8,50.0,0.85,0.05,"No. The Supreme Court held that teachers do not fall within the definition of ""employee"" under the Act because imparting education is a noble vocation and cannot be classified as skilled, unskilled, manual, supervisory, or clerical work.","No, teachers employed in schools are not considered ""employees"" eligible for gratuity under Section 2(e) of the Payment of Gratuity Act, 1972. The definition of 'employee' in Section 2(e) excludes teachers as they are not doing any kind of skilled or unskilled, manual, supervisory, managerial, administrative, technical or clerical work."
0.0,22397,0.35958266258239746,0.6721460223197937,0.0,0.39416058394160586,0.1037037037037037,0.1897810218978102,950,1147,0.07743611181084044,0.3224431818181818,0.8705768585205078,0.16510629653930664,0.5,50.0,88.27234029769897,0.0113,23.4,18.26,0.5,0.5,50.0,0.5,0.1,No. The Supreme Court held that the power under Section 319 is an extraordinary power that must be used sparingly. It requires a reasonable prospect of conviction and compelling reasons; mere suspicion is insufficient to subject a person to the agony of a criminal trial.,"Based on the provided context, the answer is:

No, a trial court cannot add new individuals as accused persons based merely on suspicion arising during the examination of witnesses under Section 319 of the Cr.P.C.

The context suggests that the power under Section 319 can only be exercised after the trial proceeds and commences with the recording of evidence, or in exceptional circumstances. The courts have held that the test for invoking this power is whether there exists a strong suspicion, which requires a higher standard than prima facie evidence."
0.0,22397,2.1646368503570557,0.6407079696655273,0.0,0.41904761904761906,0.17475728155339806,0.2857142857142857,862,1055,0.04012033652633536,0.2932276235771091,0.8911713361740112,0.13151448965072632,0.75,70.0,2.783867120742798,0.3592,21.4,18.32,0.6,0.8,50.0,0.85,0.05,"To prevent unnecessary delays, the Supreme Court directed trial courts to tentatively mark the objected documents as exhibits and defer the final decision on their admissibility until the final judgment stage, rather than halting the trial to pass interlocutory orders.","The Supreme Court mandated that when objections are raised regarding the admissibility of documents during the evidence-recording stage, the trial court should make a note of such objection and mark the objected document tentatively as an exhibit in the case (or record the objected part of the oral evidence) subject to such objections to be decided at the last stage in the final judgment."
0.0,22397,0.7626008987426758,0.7393679022789001,0.0,0.4462809917355372,0.1176470588235294,0.1983471074380165,939,1121,0.022489804769753874,0.3077039281091917,0.886483371257782,0.15075021982192993,0.75,70.0,1.3884365558624268,0.7202,23.3,18.28,0.6,0.8,50.0,0.85,0.05,"Yes. The Supreme Court ruled that the words ""any cheque"" and ""other liability"" in Section 138 are broad enough to cover cheques issued by a guarantor. The liability cannot be avoided merely because the cheque was issued as security for someone else's debt.","No, a criminal complaint under Section 138 of the Negotiable Instruments Act cannot be maintained against a guarantor who issues a cheque solely to secure the debt of the principal debtor. 

The High Court's interpretation that a cheque issued as a security cannot be considered as issued for the purpose of discharging any debt or liability under Section 138 has been upheld by the Supreme Court in the context of the Andhra Pradesh High Court judgment."
0.0,22397,0.7589693069458008,0.6792698502540588,0.0,0.2658227848101266,0.07692307692307691,0.15189873417721522,831,1079,0.014207761258482972,0.25279314159292043,0.8509821891784668,0.13389354944229126,0.75,70.0,1.4127185344696045,0.7079,25.8,18.35,0.6,0.8,50.0,0.85,0.05,"No. The Supreme Court held that once the civil dispute is resolved and the authorities grant immunity under the Scheme, continuing the criminal prosecution lacks the requisite fraudulent intention and constitutes an abuse of the judicial process.","No, the criminal proceedings for cheating under Section 420/120B IPC cannot continue against an assessee if their civil tax liability has already been fully settled under the Kar Vivad Samadhan Scheme, 1998. According to the judgment, the immunity granted under the provisions of the Customs Act, 1962 also extends to such offences that may prima facie be made out on identical allegations i.e. of evasion of Customs Duty and violation of any Notification issued under the said Act. Since the Customs duty has already been paid, the Central Government has not suffered any financial loss, and the assessee has been granted immunity from prosecution from any offence under the Customs Act, 1962, including the offence of evasion of duty."
0.0,22397,0.8406648635864258,0.7413495779037476,0.2,0.41025641025641024,0.07894736842105263,0.2820512820512821,914,1151,0.02443113853229047,0.2037121789982202,0.8932361006736755,0.16206467151641846,0.75,70.0,1.3623523712158203,0.734,24.3,18.25,0.6,0.8,50.0,0.85,0.05,"The Supreme Court held that to secure a criminal conviction under Section 304A, the doctor's negligence must be ""gross"" or ""reckless."" A mere lack of necessary care or an error of judgment, which might create civil liability in tort, is not sufficient for criminal punishment.","The degree of negligence required to hold a medical professional criminally liable for the death of a patient under Section 304A of the IPC is ""gross"" or of a very high degree."
